timestamp,inboundMessageCount,pendingMessageCount,outboundMessageRate,pendingMessageSize,outboundMessageCount,inboundMessageRate,topicCount,queueCount,consumerCount,producerCount,sessionCount,asyncDBSize,diskReadRate,durableCount,msgMem,syncDBSize,connectionCount,diskWriteRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,msgMemPooled,RespTime
Thu Feb 22 10:28:17 462 CST 2024,4,6,0,6574,3,0,6,8,1,1,1,36352,0,3,14499,2048,1,0,0,0,0,0,0,53248,1
Thu Feb 22 10:28:47 492 CST 2024,6,6,0,6574,5,0,8,8,3,1,2,36352,0,3,19163,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:29:17 504 CST 2024,8,6,0,6574,7,0,8,8,3,1,2,36352,0,3,19163,2048,2,0,0,0,0,0,0,53248,5
Thu Feb 22 10:29:47 516 CST 2024,10,6,0,6574,9,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:30:17 536 CST 2024,12,6,0,6574,11,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 10:30:47 553 CST 2024,14,6,0,6574,13,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 10:31:17 568 CST 2024,16,6,0,6574,15,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,7
Thu Feb 22 10:31:47 581 CST 2024,18,6,0,6574,17,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:32:17 598 CST 2024,20,6,0,6574,19,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,6
Thu Feb 22 10:32:47 619 CST 2024,22,6,0,6574,21,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 10:33:17 629 CST 2024,24,6,0,6574,23,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:33:47 642 CST 2024,26,6,0,6574,25,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:34:17 648 CST 2024,28,6,0,6574,27,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:34:47 666 CST 2024,30,6,0,6574,29,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:35:17 670 CST 2024,32,6,0,6574,31,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:35:47 688 CST 2024,34,6,0,6574,33,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:36:17 708 CST 2024,36,6,0,6574,35,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 10:36:47 726 CST 2024,38,6,0,6574,37,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:37:17 734 CST 2024,40,6,0,6574,39,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:37:47 750 CST 2024,42,6,0,6574,41,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:38:17 770 CST 2024,44,6,0,6574,43,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:38:47 782 CST 2024,46,6,0,6574,45,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,4
