timestamp,consumerCount,queueCount,topicCount,producerCount,inboundMessageCount,outboundMessageRate,pendingMessageSize,pendingMessageCount,inboundMessageRate,outboundMessageCount,sessionCount,msgMem,diskWriteRate,connectionCount,durableCount,asyncDBSize,diskReadRate,syncDBSize,msgMemPooled,inboundBytesRate,outboundBytesRate,diskWriteOperationsRate,diskReadOperationsRate,routeRecoverCount,RespTime
Tue Feb 20 09:35:41 209 CST 2024,1,8,6,1,4,0,6574,6,0,3,1,14499,0,1,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 09:36:11 289 CST 2024,3,8,8,1,6,0,6574,6,0,5,2,19163,0,2,3,36352,0,1536,53248,0,0,0,0,0,18
Tue Feb 20 09:36:41 296 CST 2024,3,8,8,1,8,0,6574,6,0,7,2,19163,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:37:11 351 CST 2024,3,8,8,1,10,0,6574,6,0,9,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,38
Tue Feb 20 09:37:41 355 CST 2024,3,8,8,1,12,0,6574,6,0,11,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:38:11 366 CST 2024,3,8,8,1,14,0,6574,6,0,13,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:38:41 379 CST 2024,3,8,8,1,16,0,6574,6,0,15,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:39:11 386 CST 2024,3,8,8,1,18,0,6574,6,0,17,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:39:41 394 CST 2024,3,8,8,1,20,0,6574,6,0,19,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:40:11 399 CST 2024,3,8,8,1,22,0,6574,6,0,21,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:40:41 411 CST 2024,3,8,8,1,24,0,6574,6,0,23,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:41:11 428 CST 2024,3,8,8,1,26,0,6574,6,0,25,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:41:41 442 CST 2024,3,8,8,1,28,0,6574,6,0,27,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:42:11 456 CST 2024,3,8,8,1,30,0,6574,6,0,29,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 09:42:41 464 CST 2024,3,8,8,1,32,0,6574,6,0,31,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 09:43:11 475 CST 2024,3,8,8,1,34,0,6574,6,0,33,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:43:41 492 CST 2024,3,8,8,1,36,0,6574,6,0,35,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 09:44:11 503 CST 2024,3,8,8,1,38,0,6574,6,0,37,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:44:41 512 CST 2024,3,8,8,1,40,0,6574,6,0,39,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 09:45:11 527 CST 2024,3,8,8,1,42,0,6574,6,0,41,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 09:45:41 536 CST 2024,3,8,8,1,44,0,6574,6,0,43,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:46:11 552 CST 2024,3,8,8,1,46,0,6574,6,0,45,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:46:41 568 CST 2024,3,8,8,1,48,0,6574,6,0,47,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:47:11 584 CST 2024,3,8,8,1,50,0,6574,6,0,49,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:47:41 598 CST 2024,3,8,8,1,52,0,6574,6,0,51,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:48:11 603 CST 2024,3,8,8,1,54,0,6574,6,0,53,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 09:48:41 616 CST 2024,3,8,8,1,56,0,6574,6,0,55,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:49:11 630 CST 2024,3,8,8,1,58,0,6574,6,0,57,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:49:41 638 CST 2024,3,8,8,1,60,0,6574,6,0,59,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:50:11 658 CST 2024,3,8,8,1,62,0,6574,6,0,61,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:50:41 678 CST 2024,3,8,8,1,64,0,6574,6,0,63,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:51:11 697 CST 2024,3,8,8,1,66,0,6574,6,0,65,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:51:41 714 CST 2024,3,8,8,1,68,0,6574,6,0,67,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,0
Tue Feb 20 09:52:11 724 CST 2024,3,8,8,1,70,0,6574,6,0,69,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:52:41 732 CST 2024,3,8,8,1,72,0,6574,6,0,71,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:53:11 747 CST 2024,3,8,8,1,74,0,6574,6,0,73,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:53:41 749 CST 2024,3,8,8,1,76,0,6574,6,0,75,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:54:11 761 CST 2024,3,8,8,1,78,0,6574,6,0,77,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:54:41 768 CST 2024,3,8,8,1,80,0,6574,6,0,79,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,0
Tue Feb 20 09:55:11 774 CST 2024,3,8,8,1,82,0,6574,6,0,81,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:55:41 784 CST 2024,3,8,8,1,84,0,6574,6,0,83,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 09:56:11 793 CST 2024,3,8,8,1,86,0,6574,6,0,85,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:56:41 813 CST 2024,3,8,8,1,88,0,6574,6,0,87,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,6
Tue Feb 20 09:57:11 829 CST 2024,3,8,8,1,90,0,6574,6,0,89,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,0
Tue Feb 20 09:57:41 846 CST 2024,3,8,8,1,92,0,6574,6,0,91,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 09:58:11 859 CST 2024,3,8,8,1,94,0,6574,6,0,93,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 09:58:41 872 CST 2024,3,8,8,1,96,0,6574,6,0,95,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 09:59:11 887 CST 2024,3,8,8,1,98,0,6574,6,0,97,2,19164,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 09:59:41 894 CST 2024,3,8,8,1,100,0,6574,6,0,99,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:00:11 912 CST 2024,3,8,8,1,102,0,6574,6,0,101,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:00:41 923 CST 2024,3,8,8,1,104,0,6574,6,0,103,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:01:11 936 CST 2024,3,8,8,1,106,0,6574,6,0,105,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:01:41 953 CST 2024,3,8,8,1,108,0,6574,6,0,107,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:02:11 964 CST 2024,3,8,8,1,110,0,6574,6,0,109,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:02:41 983 CST 2024,3,8,8,1,112,0,6574,6,0,111,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
