timestamp,consumerCount,topicCount,producerCount,queueCount,pendingMessageSize,inboundMessageRate,outboundMessageRate,outboundMessageCount,inboundMessageCount,pendingMessageCount,asyncDBSize,connectionCount,diskWriteRate,msgMem,durableCount,sessionCount,diskReadRate,syncDBSize,msgMemPooled,routeRecoverCount,diskReadOperationsRate,diskWriteOperationsRate,outboundBytesRate,inboundBytesRate,RespTime
Thu Feb 15 10:24:51 305 CST 2024,1,6,1,8,0,0,0,3,4,0,10240,1,0,12531,3,1,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:25:21 329 CST 2024,3,8,1,8,0,0,0,5,6,0,10240,2,0,17195,3,2,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:25:51 348 CST 2024,3,8,1,8,0,0,0,7,8,0,10240,2,0,17195,3,2,0,1536,53248,0,0,0,0,0,9
Thu Feb 15 10:26:21 357 CST 2024,3,8,1,8,0,0,0,9,10,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,3
Thu Feb 15 10:26:51 363 CST 2024,3,8,1,8,0,0,0,11,12,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:27:21 367 CST 2024,3,8,1,8,0,0,0,13,14,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,2
Thu Feb 15 10:27:51 385 CST 2024,3,8,1,8,0,0,0,15,16,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,2
Thu Feb 15 10:28:21 397 CST 2024,3,8,1,8,0,0,0,17,18,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:28:51 420 CST 2024,3,8,1,8,0,0,0,19,20,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,4
Thu Feb 15 10:29:21 439 CST 2024,3,8,1,8,0,0,0,21,22,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:29:51 457 CST 2024,3,8,1,8,0,0,0,23,24,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,2
Thu Feb 15 10:30:21 474 CST 2024,3,8,1,8,0,0,0,25,26,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:30:51 478 CST 2024,3,8,1,8,0,0,0,27,28,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:31:21 496 CST 2024,3,8,1,8,0,0,0,29,30,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,2
Thu Feb 15 10:31:51 505 CST 2024,3,8,1,8,0,0,0,31,32,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,1
Thu Feb 15 10:32:21 526 CST 2024,3,8,1,8,0,0,0,33,34,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,4
Thu Feb 15 10:32:51 546 CST 2024,3,8,1,8,0,0,0,35,36,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,4
Thu Feb 15 10:33:21 564 CST 2024,3,8,1,8,0,0,0,37,38,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,5
Thu Feb 15 10:33:51 577 CST 2024,3,8,1,8,0,0,0,39,40,0,10240,2,0,17196,3,2,0,1536,53248,0,0,0,0,0,5
